"statement","true_label","prompt","model_output"
"Bill White has a long history of trying to limit or even disenfranchise military voters.","half-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Bill White has a long history of trying to limit or even disenfranchise military voters.""  The following speaker made the above statement: republican-party-texas. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","to answer this question, please provide a brief explanation of the speaker's statement and classify it as either false, half-true, mostly-true, true, or barely-true."
"John McCains chief economic adviser during the 08 race estimated that Trumps promises would cause America to lose 3.5 million jobs.","half-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""John McCains chief economic adviser during the 08 race estimated that Trumps promises would cause America to lose 3.5 million jobs.""  The following speaker made the above statement: tim-kaine. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel.""  The following speaker made the above statement: rand-paul. Additionally, the above speaker belongs to the party: republican  What is"
"Says 21,000 Wisconsin residents got jobs in 2011, but 18,000 of them were in other states.","false","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Says 21,000 Wisconsin residents got jobs in 2011, but 18,000 of them were in other states.""  The following speaker made the above statement: kathleen-vinehout. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","fact-checking-assistant"
"State revenue projections have missed the mark month after month.","half-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""State revenue projections have missed the mark month after month.""  The following speaker made the above statement: steve-henson. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","based on the passage above, which statement is false according to the text material?"
"The median income of a middle class family went down $2,100 from 2001 to 2007.","true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""The median income of a middle class family went down $2,100 from 2001 to 2007.""  The following speaker made the above statement: joe-biden. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","based on the passage above, which statement is false according to the text material?"
"Every citizen is entitled to the freedom of speech, but no one should have the right to use government funds or institutions to portray acts that are morally reprehensible to the vast majority of Americans.","barely-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Every citizen is entitled to the freedom of speech, but no one should have the right to use government funds or institutions to portray acts that are morally reprehensible to the vast majority of Americans.""  The following speaker made the above statement: david-dewhurst. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","fact-checking-assistant"
"Rick Perry has advocated abandoning Social Security, scuttling Medicaid and ending the federal income tax.","half-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Rick Perry has advocated abandoning Social Security, scuttling Medicaid and ending the federal income tax.""  The following speaker made the above statement: margaret-carlson. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","based on the passage above, which statement is false according to the text material?"
"Two thirds to three quarters of people without [health] insurance in Rhode Island work.","half-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Two thirds to three quarters of people without [health] insurance in Rhode Island work.""  The following speaker made the above statement: elizabeth-roberts. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."""
"Congress has spent 66 of the first 100 days of this term in recess.","mostly-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Congress has spent 66 of the first 100 days of this term in recess.""  The following speaker made the above statement: john-barrow. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Congress has spent 66 of the first 100 days of this term in recess"
"Mark Sharpe has lowered property taxes by 17 percent.","barely-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Mark Sharpe has lowered property taxes by 17 percent.""  The following speaker made the above statement: mark-sharpe. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","as per the given material, the statement is false."
"Says Iowa Gov. Terry Branstad chartered a plane to remove 124 young illegal immigrants from his state and take them back to Honduras.","pants-fire","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Says Iowa Gov. Terry Branstad chartered a plane to remove 124 young illegal immigrants from his state and take them back to Honduras.""  The following speaker made the above statement: chain-email. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.",""
"If you dont buy cigarettes at your local supermarket, your grocery bill wont go up a dime. The same is true of the sugary drink tax. If passed, you can avoid paying the tax by not buying sugary drinks.","half-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""If you dont buy cigarettes at your local supermarket, your grocery bill wont go up a dime. The same is true of the sugary drink tax. If passed, you can avoid paying the tax by not buying sugary drinks.""  The following speaker made the above statement: philadelphia-daily-news. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","Statement: ""If you dont buy cigarettes at your local supermarket, your grocery bill wont go up a dime. The same is true of the sugary drink tax. If passed, you can avoid paying the tax by not buying sugary drinks.""  Evaluate the truthfulness of the following statement: ""If you dont buy cigarettes at your local supermarket, your grocery bill wont go up a"
"Says President Barack Obama has said that everybody should hate the police.","pants-fire","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Says President Barack Obama has said that everybody should hate the police.""  The following speaker made the above statement: rudy-giuliani. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","According to the given material, the statement ""Says President Barack Obama has said that everybody should hate the police"" is a half-true claim."
"Georgia has had ʺmore bank failures than any other state.ʺ","true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Georgia has had ʺmore bank failures than any other state.ʺ""  The following speaker made the above statement: lynn-westmoreland. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","Your response:   Statement: ""Georgia has had ʺmore bank failures than any other state.ʺ"" Label: true  Classification: 0. false  Reasoning: The speaker mentioned that Georgia has had more bank failures than any other state. This is a fact, and it is not disputed.  Evaluate the truthfulness of the following statement: ""Says Donald Trump is"
"Bank of America could create 878,300 jobs with benefits if they spent their 2010 bonuses on job creation.","pants-fire","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Bank of America could create 878,300 jobs with benefits if they spent their 2010 bonuses on job creation.""  The following speaker made the above statement: facebook-posts. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","Statement: ""Bank of America could create 878,300 jobs with benefits if they spent their 2010 bonuses on job creation."" Label: true  Evaluate the truthfulness of the following statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel.""  The following speaker made the above statement: twitter-posts. Additionally, the above speaker belongs"
"Thom Tillis cut almost $500 million from education.","half-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Thom Tillis cut almost $500 million from education.""  The following speaker made the above statement: emilys-list. Additionally, the above speaker belongs to the party: organization  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","based on the passage above, which statement is false according to the text material?"
